presently 현재에는
certified 공인된
recognized 인정받는
recognition 인정,보상
awards_banquet 수상식
indebt ~에게빚을지게하다
eliminate 제거하다
complicate 복잡하게하다
complicated 복잡한
enthusiastic 열정적인
enthusiasm 열정
enthusiast 열광자
work 일,직장,일을하다
in_the_choice_of ~을선택하는데있어서
conduct 행동,수행하다
conductor 안내자,지휘자
picturesque 그림같은
generate 발생시키다,초래하다
tentative 임시적인
arbitrary 제멋대로
rather 오히려
state 주,상태,진술하다
display 전시,전시하다
on_display 전시되어있는
commit 전념하다
commitment 전념,헌신,언약,약속
offer_to_V ~을제안하다
offer 제안,제의
commend 칭찬하다
urge 욕구,충동,촉구하다
landmark 랜드마크
celebrated 유명한
celebrate 축하하다
celebration 축하
incur 초래하다
sustain 유지하다,피해를입다
defer 미루다
relative 관련이있는,친척
organize 조직하다,준비하다
municipal 지방자치의
athletic 체육의,경기의
athlete 운동선수
guard 지키다
increasing 증가하고있는,점차적인
outgoing 떠나는,외향적인
track 길,자취,흔적,추적하다
reference 언급,참조,추천인
on(=upon)_arrival 도착하자마자
indicate 나타내다,암시하다,표시하다
indication 암시
indicator 지표
align 정렬하다
mutually 상호간에
indirectly 간접적으로
estimate 평가하다,예상하다,견적
approximately 대략
legible 읽을수있는
abundant 풍부한,많은
accessible 접근가능한
well_received 좋은반응을받은
open 열다,열려있는
breakthrough 돌파구,발전
rate 비율,속도,평가하다
rates 요금
rating 평가,등급
provided_(that) ~을조건으로
tear 찢어진곳
restoration 복원
arrange_(for) 준비하다
severely 심각하게
over_and_above ~에덧붙여
fully 완전히
conserve 보존하다
preliminary 예비의,1차적인
constant 일정한
tremendous 엄청난
morale 사기
be_capable_of 할수있는
capability 능력
capably 유능하게
endangered 멸종위기에처한
comparable 유사한,필적할만한
It_is_overwhelming 압도적인
overwhelmingly 압도적으로
strength 강점,내구성
confidence 신뢰,자신감
guarantee 보장하다
encourage 격려하다,권장하다
vanue 장소
air_conditioning 에어컨
a_number_of 많은
the_number_of ~의수
proposal 제안,기획안
reject 거절하다
due_to ~때문에
lack 부족
cooperate 협력하다,협조하다
commence 시작하다
complimentary 무료의
charge 요금,청구하다
edit 편집하다
convenient 편리한
dramatically 극적으로,급격히
detailed 상세한
experience 경험,경험하다
conference 회의
president 회장
personal_department 인사부
applicant 지원자
client 고객
attend 참석하다
discuss 논의하다
dialogue 대화
review 검토하다,검토
carry 소지하다
land 도착하다
inexperience 경험부족
consult 상담하다,참고하다
despite ~에도불구하고
candidate 후보자,지원자
vacancy 빈방
annual 연례의
advanced_degree 고급학위
pile 쌓다
load 싣다
stare 바라보다
supplies 물품
commuter 통근자
inspect 조사하다
instruction 지시사항
real_estate 부동산
crosswalk 건널목
step_out 내리다
set 차리다
put_on 입다
merchandise 상품
shelf 선반
sprinkle 물을뿌리다
in_rows 줄지어
grass 잔디
step 계단
side_walk 인도
log 통나무
land 도착하다
inexperience 경험부족
consult 상담하다,참고하다
despite ~에도불구하고
prominent 유명한
illness 병
fund_raising 기금모금
furnish 설치하다
adjustment 조정
free_to 자유롭게~하다
walk_along ~을따라걷다
bike_rack 자전거고정대
acceptable 받아들여지는
leave 휴가
requirement 필요
evaluation 평가
financial 재정의,금융의
postpone 미루다,연기하다
operate 작동하다
colleague 동료
document 서류
stairway 계단
hand_out 나누어주다
give_a_presentation 발표하다
raise 들다
examine 검토하다
furniture 가구
rack 거치대
outdoors 야외에서
pillow 베개
under_construction 공사중인
overlook 내려다보다
be_lined_up 줄지어있다
intersection 교차로
suitcase 여행가방
direct_traffic 교통정리를하다
purchase 구매하다
traffic_light 신호등
pave 길을포장하다
wheelbarrow 수레
dock 부두
administrator 이사
individual 개인
qualified 자격이있는
citizen 시민,주민
approval 승인
refund 환불
culinary 요리의
advertise 광고하다
satisfy 만족시키다
distinct 독특한,뚜렷한
reservation 예약
with_ease 쉽게
assign 할당하다,배당하다
advance 사전의,앞서의
relevant 관련된
express 표현하다
promote 홍보하다
regulation 규칙,규정
in_advance 미리
regarding ~에관해서
entrance 입구
get_a_rise 월급이오르다
transfer 이동하다
shipment 수송
fabric 천
cosmetic 화장품
secretary 비서
director 이사,임원
contract 계약서
summarize 요약하다
accounting_office 회계부
fee 요금
put_off 미루다
accommodation 숙박
training_session 교육
supervisor 상사,감독관
budget 예산
dress 입다
wearhouse 창고
branch 지점
get_to ~에도착하다
brochure 소책자
couple 두개,두사람
sign_up 등록하다
fill_out 작성하다
lab 연구실,실험실
commute 통근,통근하다
giva_~_a_ride ~을태워주다
appointment 약속
undergo ~을겪다
renovation 수리
nearest 가장가까운
earn 창출하다,낳다
quarter 분기
faulty 결함이있는
draw 끌어내다
comment 평가,의견
classified 기밀의
coworker 동료
luggage 수하물
published 발표된
contract 계약
defective 결함있는
debate 논쟁
operation 운영
assess 평가하다
confidential 기밀의
properly 적절히
competitive 경쟁력있는
outdate 구식의
former 이전의
determine 결정하다
renovate 개조하다,수리하다
confirm 확인하다,승인하다
suitable 적당한,알맞은
replacement 후임자
accommodate 수용하다
attendee 참석자
attach 붙이다
explanation 설명
enclosed 동봉된
