presently 현재에는
certified 공인된
recognized 인정받는
recognition 인정,보상
awards_banquet 수상식
indebt ~에게빚을지게하다
eliminate 제거하다
complicate 복잡하게하다
complicated 복잡한
enthusiastic 열정적인
enthusiasm 열정
enthusiast 열광자
work 일,직장,일을하다
in_the_choice_of ~을선택하는데있어서
conduct 행동,수행하다
conductor 안내자,지휘자
picturesque 그림같은
generate 발생시키다,초래하다
tentative 임시적인
arbitrary 제멋대로
rather 오히려
state 주,상태,진술하다
display 전시,전시하다
on_display 전시되어있는
commit 전념하다
commitment 전념,헌신,언약,약속
offer_to_V ~을제안하다
offer 제안,제의
comment 칭찬하다
